institute_id,year,gr_total,gr_AmerInd_AlaskNtv,gr_Asian,gr_AfrAmer,gr_Hispanic,gr_Hi_PacIsland,gr_White,gr_2orMore,gr_unknown,gr_nonresAlien,co_total,co_AmerInd_AlaskNtv,co_Asian,co_AfrAmer,co_Hispanic,co_Hi_PacIsland,co_White,co_2orMore,co_unknown,co_nonresAlien,hr_total,hr_AmerInd_AlaskNtv,hr_Asian,hr_AfrAmer,hr_Hispanic,hr_Hi_PacIsland,hr_White,hr_2orMore,hr_unknown,hr_nonresAlien
102845,2010,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
102845,2011,30.0,2.0,2.0,1.0,0.0,0.0,23.0,1.0,0.0,1.0,32.0,2.0,2.0,1.0,0.0,0.0,25.0,1.0,0.0,1.0,,,,,,,,,,
102845,2012,93.0,12.0,19.0,6.0,1.0,0.0,53.0,2.0,0.0,0.0,277.0,41.0,41.0,25.0,9.0,0.0,155.0,3.0,3.0,0.0,,,,,,,,,,
102845,2013,294.0,42.0,38.0,29.0,8.0,0.0,167.0,5.0,5.0,0.0,832.0,136.0,125.0,82.0,28.0,5.0,437.0,11.0,8.0,0.0,166.0,3.0,18.0,25.0,51.0,4.0,350.0,7.0,0.0,0.0
102845,2014,307.0,22.0,11.0,14.0,72.0,7.0,139.0,10.0,32.0,0.0,670.0,75.0,36.0,53.0,124.0,21.0,283.0,20.0,58.0,0.0,149.0,8.0,19.0,33.0,63.0,7.0,335.0,7.0,0.0,0.0
102845,2015,545.0,28.0,26.0,28.0,175.0,12.0,229.0,7.0,40.0,0.0,1174.0,96.0,51.0,65.0,320.0,40.0,418.0,30.0,153.0,1.0,144.0,4.0,13.0,47.0,55.0,6.0,303.0,5.0,0.0,0.0
102845,2016,734.0,27.0,20.0,21.0,264.0,17.0,280.0,22.0,83.0,0.0,1560.0,115.0,45.0,64.0,453.0,36.0,549.0,48.0,250.0,0.0,107.0,2.0,9.0,37.0,45.0,3.0,237.0,5.0,1.0,0.0
102845,2017,852.0,43.0,14.0,20.0,327.0,16.0,292.0,33.0,107.0,0.0,1794.0,134.0,38.0,77.0,593.0,56.0,589.0,86.0,221.0,0.0,106.0,6.0,12.0,32.0,54.0,3.0,254.0,14.0,0.0,0.0
102845,2018,523.0,16.0,8.0,14.0,216.0,31.0,194.0,28.0,16.0,0.0,1044.0,85.0,15.0,43.0,350.0,81.0,362.0,81.0,27.0,0.0,109.0,8.0,11.0,27.0,62.0,3.0,274.0,16.0,0.0,0.0
102845,2019,445.0,17.0,22.0,14.0,122.0,2.0,221.0,32.0,15.0,0.0,1023.0,80.0,74.0,79.0,228.0,5.0,450.0,77.0,30.0,0.0,119.0,8.0,12.0,29.0,55.0,5.0,273.0,13.0,0.0,0.0
102845,2020,1083.0,36.0,7.0,37.0,380.0,44.0,483.0,47.0,49.0,0.0,2095.0,140.0,11.0,115.0,699.0,95.0,819.0,104.0,112.0,0.0,111.0,5.0,13.0,30.0,49.0,3.0,240.0,8.0,0.0,0.0
234492,2010,147.0,3.0,11.0,4.0,8.0,0.0,75.0,0.0,43.0,3.0,390.0,12.0,26.0,25.0,20.0,0.0,192.0,0.0,110.0,5.0,,,,,,,,,,
234492,2011,144.0,2.0,12.0,3.0,10.0,0.0,106.0,0.0,10.0,1.0,423.0,8.0,38.0,16.0,26.0,0.0,288.0,0.0,46.0,1.0,,,,,,,,,,
234492,2012,99.0,1.0,14.0,1.0,6.0,0.0,63.0,0.0,13.0,1.0,301.0,10.0,31.0,11.0,26.0,0.0,184.0,0.0,38.0,1.0,113.0,2.0,16.0,7.0,4.0,1.0,149.0,1.0,17.0,0.0
234492,2013,90.0,1.0,12.0,3.0,6.0,0.0,61.0,0.0,7.0,0.0,322.0,7.0,39.0,17.0,20.0,0.0,198.0,0.0,41.0,0.0,105.0,1.0,13.0,5.0,3.0,1.0,141.0,4.0,16.0,0.0
234492,2014,110.0,1.0,6.0,1.0,7.0,0.0,60.0,0.0,32.0,3.0,349.0,3.0,25.0,13.0,25.0,0.0,179.0,0.0,101.0,3.0,,,,,,,,,,
234492,2015,84.0,0.0,5.0,5.0,13.0,0.0,45.0,0.0,16.0,0.0,320.0,5.0,19.0,14.0,35.0,0.0,174.0,0.0,73.0,0.0,89.0,1.0,12.0,5.0,7.0,2.0,111.0,3.0,12.0,0.0
234492,2016,79.0,2.0,6.0,0.0,9.0,0.0,49.0,0.0,12.0,1.0,289.0,12.0,14.0,12.0,34.0,0.0,151.0,0.0,63.0,3.0,97.0,1.0,11.0,4.0,7.0,4.0,126.0,3.0,10.0,0.0
234492,2017,64.0,0.0,0.0,0.0,10.0,0.0,7.0,0.0,46.0,1.0,205.0,1.0,0.0,3.0,20.0,0.0,14.0,0.0,165.0,2.0,78.0,1.0,10.0,4.0,7.0,2.0,101.0,3.0,10.0,0.0
234492,2018,56.0,0.0,1.0,0.0,11.0,0.0,17.0,0.0,23.0,4.0,201.0,0.0,3.0,6.0,33.0,0.0,50.0,0.0,102.0,7.0,65.0,2.0,8.0,4.0,5.0,2.0,75.0,2.0,9.0,0.0
234669,2010,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,32.0,,,,,,,,,,
234669,2011,140.0,2.0,19.0,2.0,5.0,0.0,93.0,0.0,13.0,6.0,483.0,5.0,54.0,28.0,25.0,0.0,299.0,0.0,49.0,23.0,,,,,,,,,,
234669,2012,142.0,0.0,19.0,4.0,3.0,0.0,98.0,0.0,17.0,1.0,513.0,2.0,70.0,18.0,26.0,0.0,337.0,0.0,59.0,1.0,400.0,7.0,151.0,42.0,39.0,0.0,875.0,11.0,0.0,0.0
234669,2013,122.0,3.0,23.0,4.0,6.0,0.0,79.0,0.0,7.0,0.0,508.0,7.0,96.0,35.0,26.0,0.0,311.0,0.0,33.0,0.0,442.0,7.0,183.0,46.0,45.0,0.0,887.0,22.0,3.0,0.0
234669,2014,110.0,1.0,28.0,2.0,6.0,0.0,70.0,2.0,1.0,0.0,423.0,5.0,73.0,20.0,30.0,0.0,275.0,5.0,15.0,0.0,,,,,,,,,,
234669,2015,109.0,2.0,35.0,5.0,4.0,0.0,52.0,1.0,9.0,1.0,460.0,4.0,96.0,34.0,31.0,0.0,254.0,11.0,28.0,2.0,453.0,8.0,188.0,54.0,49.0,1.0,887.0,35.0,6.0,2.0
234669,2016,132.0,2.0,29.0,7.0,8.0,0.0,76.0,3.0,7.0,0.0,500.0,2.0,104.0,35.0,34.0,1.0,270.0,9.0,42.0,3.0,448.0,7.0,196.0,56.0,53.0,2.0,870.0,35.0,7.0,1.0
234669,2017,116.0,0.0,38.0,2.0,7.0,1.0,62.0,2.0,3.0,1.0,481.0,2.0,112.0,30.0,37.0,3.0,263.0,7.0,25.0,2.0,447.0,6.0,199.0,61.0,54.0,4.0,846.0,33.0,7.0,0.0
234669,2018,152.0,1.0,40.0,5.0,22.0,0.0,64.0,5.0,15.0,0.0,531.0,5.0,99.0,39.0,71.0,2.0,252.0,31.0,32.0,0.0,434.0,5.0,211.0,53.0,57.0,4.0,821.0,29.0,8.0,0.0
234669,2019,181.0,2.0,47.0,2.0,21.0,0.0,89.0,10.0,9.0,1.0,679.0,8.0,130.0,38.0,96.0,4.0,334.0,37.0,31.0,1.0,431.0,6.0,226.0,55.0,64.0,6.0,775.0,30.0,15.0,1.0
234669,2020,172.0,0.0,27.0,7.0,14.0,2.0,92.0,15.0,13.0,2.0,502.0,4.0,75.0,39.0,76.0,7.0,230.0,40.0,27.0,4.0,405.0,8.0,217.0,55.0,57.0,7.0,719.0,31.0,18.0,2.0
234696,2016,22.0,0.0,0.0,0.0,3.0,0.0,17.0,0.0,2.0,0.0,52.0,0.0,1.0,1.0,3.0,0.0,43.0,0.0,4.0,0.0,109.0,6.0,7.0,1.0,5.0,1.0,266.0,0.0,1.0,0.0
234696,2017,22.0,0.0,1.0,1.0,4.0,0.0,15.0,0.0,1.0,0.0,40.0,1.0,1.0,3.0,6.0,0.0,25.0,0.0,4.0,0.0,116.0,6.0,7.0,1.0,5.0,1.0,272.0,0.0,8.0,0.0
234696,2018,16.0,0.0,0.0,0.0,1.0,0.0,12.0,3.0,0.0,0.0,35.0,1.0,2.0,0.0,3.0,0.0,25.0,4.0,0.0,0.0,116.0,6.0,7.0,1.0,5.0,1.0,279.0,0.0,0.0,0.0
234696,2019,19.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,2.0,0.0,59.0,0.0,0.0,0.0,5.0,0.0,45.0,6.0,3.0,0.0,103.0,7.0,5.0,2.0,4.0,1.0,256.0,0.0,16.0,0.0
234696,2020,22.0,1.0,0.0,0.0,2.0,0.0,16.0,1.0,2.0,0.0,42.0,1.0,0.0,0.0,5.0,0.0,30.0,2.0,4.0,0.0,102.0,7.0,5.0,1.0,4.0,1.0,231.0,0.0,13.0,0.0
234827,2010,769.0,5.0,18.0,10.0,67.0,2.0,611.0,32.0,20.0,4.0,1379.0,10.0,41.0,19.0,107.0,5.0,1099.0,60.0,34.0,4.0,,,,,,,,,,
234827,2011,796.0,9.0,24.0,11.0,67.0,0.0,636.0,37.0,6.0,6.0,1425.0,11.0,49.0,30.0,120.0,1.0,1117.0,71.0,17.0,9.0,,,,,,,,,,
234827,2012,781.0,5.0,20.0,10.0,61.0,0.0,631.0,40.0,10.0,4.0,1465.0,7.0,49.0,29.0,111.0,6.0,1157.0,82.0,17.0,7.0,,,,,,,,,,
234827,2013,759.0,6.0,28.0,10.0,59.0,1.0,604.0,34.0,17.0,0.0,1479.0,12.0,50.0,29.0,115.0,3.0,1151.0,80.0,34.0,5.0,752.0,5.0,11.0,9.0,27.0,1.0,327.0,14.0,1174.0,17.0
234827,2014,829.0,1.0,23.0,12.0,63.0,1.0,657.0,40.0,22.0,10.0,1552.0,8.0,38.0,28.0,123.0,7.0,1214.0,81.0,37.0,16.0,746.0,12.0,41.0,28.0,72.0,8.0,1164.0,17.0,242.0,21.0
234827,2015,851.0,3.0,9.0,18.0,70.0,0.0,642.0,59.0,33.0,17.0,1646.0,10.0,32.0,48.0,128.0,2.0,1209.0,123.0,63.0,31.0,756.0,9.0,41.0,30.0,76.0,8.0,1134.0,15.0,296.0,17.0
234827,2016,876.0,4.0,17.0,15.0,100.0,5.0,622.0,57.0,44.0,12.0,1659.0,10.0,43.0,42.0,181.0,11.0,1148.0,108.0,93.0,23.0,772.0,12.0,38.0,36.0,87.0,9.0,1139.0,17.0,303.0,18.0
234827,2017,701.0,2.0,16.0,10.0,78.0,2.0,490.0,50.0,42.0,11.0,1360.0,5.0,39.0,37.0,153.0,7.0,912.0,98.0,86.0,23.0,760.0,10.0,40.0,32.0,94.0,8.0,1133.0,27.0,285.0,18.0
234827,2018,775.0,3.0,24.0,10.0,106.0,6.0,496.0,59.0,62.0,9.0,1416.0,13.0,42.0,25.0,191.0,16.0,889.0,114.0,102.0,24.0,753.0,8.0,51.0,30.0,60.0,5.0,1145.0,85.0,122.0,160.0
234827,2019,792.0,4.0,31.0,16.0,115.0,3.0,503.0,60.0,58.0,2.0,1386.0,11.0,40.0,35.0,212.0,4.0,856.0,117.0,104.0,7.0,738.0,12.0,45.0,29.0,132.0,6.0,1388.0,38.0,6.0,3.0
234827,2020,699.0,3.0,19.0,27.0,79.0,6.0,464.0,57.0,39.0,5.0,1198.0,8.0,36.0,50.0,157.0,16.0,723.0,113.0,83.0,12.0,664.0,10.0,35.0,23.0,128.0,4.0,1299.0,36.0,4.0,4.0
234845,2012,61.0,0.0,0.0,1.0,3.0,0.0,56.0,0.0,1.0,0.0,222.0,1.0,2.0,7.0,9.0,0.0,191.0,0.0,12.0,0.0,78.0,3.0,6.0,0.0,7.0,1.0,251.0,0.0,0.0,0.0
234845,2013,107.0,2.0,5.0,0.0,5.0,0.0,87.0,0.0,4.0,4.0,264.0,5.0,10.0,4.0,18.0,0.0,202.0,0.0,17.0,8.0,85.0,3.0,6.0,0.0,8.0,2.0,260.0,0.0,0.0,0.0
234845,2014,87.0,0.0,0.0,1.0,4.0,0.0,74.0,2.0,5.0,1.0,257.0,2.0,1.0,4.0,19.0,0.0,213.0,6.0,9.0,3.0,81.0,2.0,5.0,1.0,6.0,1.0,257.0,0.0,0.0,0.0
234845,2015,105.0,0.0,1.0,0.0,7.0,0.0,87.0,3.0,6.0,1.0,287.0,3.0,1.0,4.0,21.0,0.0,238.0,6.0,13.0,1.0,88.0,0.0,7.0,1.0,10.0,1.0,260.0,0.0,0.0,0.0
234845,2016,105.0,2.0,0.0,1.0,7.0,0.0,86.0,4.0,5.0,0.0,313.0,8.0,0.0,4.0,17.0,1.0,261.0,11.0,11.0,0.0,95.0,0.0,6.0,2.0,9.0,2.0,261.0,0.0,0.0,0.0
234845,2017,100.0,0.0,0.0,0.0,8.0,1.0,79.0,4.0,7.0,1.0,295.0,5.0,0.0,1.0,21.0,3.0,232.0,18.0,12.0,3.0,89.0,1.0,7.0,2.0,10.0,2.0,255.0,0.0,0.0,0.0
234845,2018,117.0,2.0,0.0,0.0,11.0,0.0,92.0,5.0,7.0,0.0,303.0,4.0,1.0,6.0,23.0,2.0,231.0,20.0,15.0,1.0,91.0,2.0,8.0,3.0,14.0,0.0,258.0,0.0,0.0,0.0
234845,2019,141.0,1.0,1.0,1.0,11.0,0.0,114.0,7.0,4.0,2.0,355.0,5.0,4.0,4.0,33.0,1.0,272.0,15.0,11.0,10.0,111.0,1.0,10.0,5.0,20.0,0.0,308.0,0.0,0.0,0.0
234845,2020,135.0,1.0,1.0,0.0,5.0,1.0,114.0,5.0,8.0,0.0,324.0,4.0,1.0,2.0,27.0,3.0,250.0,22.0,12.0,3.0,86.0,0.0,7.0,4.0,17.0,0.0,243.0,0.0,0.0,0.0
234915,2011,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,,,,,,,,,,
234915,2012,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,314.0,2.0,74.0,25.0,22.0,6.0,700.0,10.0,14.0,0.0
234915,2015,7.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,15.0,1.0,2.0,0.0,2.0,0.0,5.0,0.0,5.0,0.0,297.0,2.0,62.0,20.0,31.0,6.0,547.0,2.0,130.0,0.0
234915,2016,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,21.0,0.0,2.0,2.0,1.0,0.0,7.0,0.0,2.0,7.0,311.0,7.0,82.0,40.0,19.0,9.0,620.0,0.0,28.0,0.0
234915,2017,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,272.0,3.0,82.0,23.0,31.0,2.0,436.0,0.0,134.0,0.0
234915,2019,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,215.0,7.0,79.0,39.0,17.0,8.0,366.0,0.0,21.0,0.0
234933,2015,238.0,1.0,6.0,5.0,10.0,0.0,186.0,13.0,15.0,2.0,958.0,7.0,31.0,27.0,55.0,3.0,725.0,58.0,50.0,2.0,367.0,4.0,42.0,18.0,16.0,4.0,845.0,48.0,1.0,0.0
234933,2016,155.0,4.0,6.0,4.0,4.0,1.0,118.0,10.0,4.0,4.0,632.0,10.0,19.0,26.0,42.0,6.0,442.0,42.0,39.0,6.0,357.0,5.0,48.0,19.0,16.0,3.0,815.0,49.0,1.0,0.0
234933,2017,239.0,1.0,11.0,5.0,21.0,0.0,176.0,16.0,9.0,0.0,965.0,13.0,29.0,21.0,108.0,6.0,687.0,74.0,24.0,3.0,374.0,6.0,51.0,19.0,16.0,2.0,829.0,62.0,1.0,0.0
234933,2018,269.0,3.0,14.0,6.0,15.0,2.0,195.0,16.0,16.0,2.0,1118.0,7.0,47.0,28.0,105.0,12.0,743.0,108.0,51.0,17.0,359.0,5.0,44.0,20.0,16.0,2.0,814.0,68.0,3.0,0.0
234933,2019,250.0,1.0,10.0,2.0,20.0,2.0,182.0,17.0,15.0,1.0,819.0,3.0,27.0,22.0,89.0,6.0,543.0,81.0,41.0,7.0,490.0,6.0,63.0,32.0,29.0,1.0,1012.0,130.0,18.0,0.0
234933,2020,320.0,0.0,11.0,2.0,27.0,1.0,239.0,25.0,13.0,2.0,950.0,6.0,33.0,11.0,86.0,10.0,676.0,86.0,33.0,9.0,471.0,5.0,60.0,29.0,32.0,2.0,972.0,102.0,21.0,0.0
234951,2014,80.0,0.0,4.0,8.0,4.0,0.0,59.0,2.0,3.0,0.0,250.0,5.0,10.0,42.0,13.0,1.0,155.0,8.0,15.0,1.0,,,,,,,,,,
234951,2015,82.0,1.0,6.0,15.0,2.0,0.0,52.0,2.0,4.0,0.0,239.0,2.0,9.0,53.0,7.0,0.0,149.0,5.0,14.0,0.0,118.0,1.0,14.0,32.0,1.0,4.0,264.0,2.0,0.0,0.0
234951,2016,62.0,0.0,0.0,8.0,2.0,0.0,42.0,2.0,8.0,0.0,170.0,0.0,1.0,36.0,5.0,1.0,100.0,3.0,23.0,1.0,116.0,2.0,16.0,30.0,2.0,5.0,253.0,5.0,0.0,0.0
234951,2017,76.0,1.0,5.0,12.0,5.0,1.0,49.0,2.0,1.0,0.0,231.0,2.0,11.0,57.0,15.0,3.0,130.0,8.0,5.0,0.0,113.0,1.0,10.0,30.0,2.0,4.0,245.0,6.0,0.0,0.0
234951,2018,97.0,1.0,6.0,8.0,2.0,0.0,77.0,3.0,0.0,0.0,234.0,3.0,11.0,43.0,6.0,4.0,158.0,8.0,1.0,0.0,128.0,2.0,14.0,36.0,4.0,6.0,265.0,8.0,0.0,0.0
234951,2019,88.0,2.0,8.0,5.0,5.0,1.0,61.0,4.0,2.0,0.0,251.0,5.0,17.0,33.0,16.0,6.0,153.0,15.0,6.0,0.0,117.0,3.0,13.0,31.0,9.0,7.0,262.0,5.0,0.0,0.0
234951,2020,100.0,1.0,5.0,10.0,12.0,0.0,55.0,12.0,4.0,1.0,290.0,4.0,14.0,44.0,32.0,7.0,151.0,28.0,9.0,1.0,119.0,3.0,14.0,32.0,10.0,7.0,247.0,4.0,1.0,0.0
234979,2010,162.0,3.0,0.0,0.0,27.0,4.0,127.0,0.0,1.0,0.0,501.0,7.0,0.0,8.0,96.0,13.0,371.0,0.0,5.0,1.0,,,,,,,,,,
234979,2011,183.0,2.0,3.0,4.0,25.0,0.0,146.0,0.0,3.0,0.0,617.0,4.0,13.0,14.0,105.0,0.0,470.0,0.0,11.0,0.0,,,,,,,,,,
234979,2012,157.0,0.0,1.0,2.0,35.0,0.0,117.0,0.0,2.0,0.0,670.0,5.0,10.0,20.0,176.0,0.0,445.0,0.0,13.0,1.0,,,,,,,,,,
234979,2013,173.0,0.0,8.0,1.0,39.0,0.0,122.0,0.0,2.0,1.0,656.0,6.0,22.0,10.0,160.0,0.0,446.0,0.0,10.0,2.0,157.0,6.0,18.0,6.0,50.0,3.0,286.0,1.0,0.0,0.0
234979,2014,182.0,0.0,4.0,2.0,46.0,0.0,127.0,1.0,2.0,0.0,739.0,4.0,12.0,12.0,207.0,0.0,489.0,10.0,4.0,1.0,,,,,,,,,,
234979,2015,206.0,0.0,5.0,1.0,63.0,0.0,133.0,2.0,1.0,1.0,701.0,1.0,13.0,7.0,224.0,1.0,438.0,9.0,5.0,3.0,226.0,5.0,18.0,9.0,71.0,6.0,421.0,5.0,0.0,0.0
234979,2016,171.0,4.0,4.0,0.0,38.0,0.0,120.0,2.0,3.0,0.0,639.0,8.0,11.0,5.0,176.0,1.0,400.0,15.0,23.0,0.0,234.0,3.0,21.0,8.0,81.0,5.0,422.0,5.0,0.0,0.0
234979,2017,186.0,1.0,8.0,1.0,71.0,0.0,100.0,1.0,4.0,0.0,627.0,5.0,17.0,6.0,229.0,1.0,345.0,14.0,10.0,0.0,217.0,3.0,21.0,8.0,66.0,4.0,416.0,10.0,0.0,0.0
234979,2018,187.0,3.0,3.0,3.0,79.0,0.0,90.0,6.0,3.0,0.0,636.0,6.0,13.0,9.0,240.0,0.0,335.0,21.0,10.0,2.0,227.0,3.0,22.0,10.0,67.0,5.0,421.0,14.0,0.0,0.0
234979,2019,201.0,2.0,4.0,0.0,83.0,0.0,94.0,10.0,7.0,1.0,723.0,6.0,17.0,5.0,286.0,2.0,352.0,36.0,18.0,1.0,226.0,1.0,25.0,9.0,67.0,4.0,425.0,15.0,3.0,0.0
234979,2020,230.0,1.0,2.0,1.0,85.0,0.0,124.0,7.0,10.0,0.0,705.0,5.0,10.0,3.0,277.0,3.0,350.0,28.0,27.0,2.0,227.0,1.0,26.0,12.0,70.0,4.0,416.0,21.0,1.0,0.0
235024,2010,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,,,,,,,,,,
235024,2011,74.0,0.0,0.0,2.0,5.0,0.0,52.0,0.0,13.0,2.0,163.0,1.0,2.0,4.0,12.0,0.0,114.0,0.0,24.0,6.0,,,,,,,,,,
235024,2012,72.0,0.0,6.0,1.0,4.0,0.0,49.0,2.0,9.0,1.0,147.0,2.0,11.0,8.0,8.0,0.0,92.0,2.0,21.0,3.0,151.0,3.0,11.0,11.0,6.0,3.0,237.0,8.0,39.0,0.0
235024,2013,81.0,0.0,2.0,3.0,2.0,0.0,69.0,3.0,1.0,1.0,173.0,1.0,5.0,10.0,5.0,0.0,133.0,3.0,14.0,2.0,146.0,3.0,15.0,14.0,7.0,0.0,229.0,7.0,42.0,0.0
235024,2014,103.0,2.0,7.0,6.0,5.0,2.0,72.0,4.0,2.0,3.0,205.0,2.0,11.0,10.0,8.0,2.0,146.0,6.0,15.0,5.0,135.0,3.0,16.0,11.0,5.0,0.0,226.0,7.0,41.0,0.0
235024,2015,104.0,0.0,6.0,3.0,7.0,1.0,73.0,4.0,8.0,2.0,190.0,0.0,8.0,5.0,13.0,1.0,127.0,5.0,29.0,2.0,135.0,2.0,15.0,11.0,3.0,0.0,226.0,5.0,44.0,0.0
235024,2016,101.0,1.0,7.0,5.0,7.0,0.0,67.0,7.0,5.0,2.0,209.0,2.0,15.0,8.0,17.0,0.0,132.0,12.0,19.0,4.0,129.0,4.0,9.0,10.0,4.0,0.0,201.0,7.0,33.0,0.0
235024,2017,113.0,2.0,1.0,5.0,12.0,0.0,77.0,6.0,9.0,1.0,213.0,3.0,5.0,7.0,19.0,1.0,146.0,11.0,18.0,3.0,144.0,4.0,12.0,13.0,7.0,0.0,220.0,13.0,49.0,0.0
235024,2018,97.0,0.0,7.0,3.0,16.0,0.0,55.0,8.0,4.0,4.0,164.0,1.0,11.0,4.0,23.0,1.0,99.0,14.0,6.0,5.0,109.0,2.0,13.0,11.0,5.0,0.0,175.0,10.0,38.0,0.0
235024,2019,90.0,1.0,6.0,2.0,6.0,1.0,62.0,9.0,2.0,1.0,166.0,1.0,9.0,10.0,17.0,1.0,102.0,21.0,4.0,1.0,110.0,2.0,11.0,11.0,10.0,0.0,146.0,9.0,40.0,0.0
235024,2020,83.0,0.0,7.0,2.0,12.0,1.0,49.0,12.0,0.0,0.0,160.0,0.0,8.0,6.0,24.0,1.0,98.0,19.0,4.0,0.0,87.0,1.0,5.0,11.0,8.0,0.0,109.0,7.0,53.0,0.0
235097,2010,673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,5.0,1403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,10.0,,,,,,,,,,
235097,2011,744.0,8.0,40.0,20.0,60.0,0.0,536.0,0.0,78.0,2.0,1610.0,26.0,88.0,65.0,142.0,0.0,1124.0,0.0,157.0,8.0,,,,,,,,,,
235097,2012,656.0,10.0,21.0,16.0,47.0,2.0,464.0,10.0,84.0,2.0,1412.0,31.0,49.0,70.0,109.0,7.0,941.0,30.0,167.0,8.0,752.0,26.0,55.0,36.0,56.0,9.0,1313.0,3.0,7.0,6.0
